author	description	retweet
lazysocalgamer	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
BoombyYakuzaBoy	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
requiesticat	I want to play Super Mario Odyssey but I don't have a switch  I hope it's released for other platforms	false
toptiertaylo	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
MarioManiacYT	RT @MarioManiacYT: When you watch too much Jimmy Neutron #SuperMarioOdyssey #NintendoSwitch https://t.co/jPT8loWvgZ	true
RUSH20XX	I became pirate king and it only took 55 hours! What's Luffy's excuse? #SuperMarioOdyssey #NintendoSwitch https://t.co/jnn2ghmfLW	false
RancidLecab	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
pduhsure	RT @heathercampbell: This #SuperMarioOdyssey NPC sure sounds like he's saying, "I just want to die. I just hate myself." #NintendoSwitch ht…	true
isahstuff	Holy shit some of those master race courses in mario odyssey are REALLY HARD WHAT THE HELL	false
trapper12	Gonna beat Super Mario Odyssey this week after working a lot the previous weeks.	false
Switch_Corner	It's Mario Vs Zelda for @thegameawards GOTY!! Who are you voting for?  RT for #Mario, Like for #Zelda  Vote here: https://t.co/uQJjNoaT38  #NintendoSwitch #BreathoftheWild #SuperMarioOdyssey https://t.co/Jd3KOH9rRP	false
ardavey	I do love stacking Goombas! #SuperMarioOdyssey #NintendoSwitch https://t.co/3WDgTIGbR8	false
silenttactician	I'm surprised Super Mario Odyssey got considered for GOTY though!  Sadly I didn't get to play it, so I can't vote for it...	false
SomeDroidCom	Cappy Can Kill Mario Thanks to a Weird Super Mario Odyssey Glitch https://t.co/eRC7lNTi4l #Cappy #Games #News	false
_kmayumi	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
CaptainGin	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
JoshGamnYoutube	RT @VidGamesFTW: Here's Part 4 of "Super Mario Odyssey;" hope you enjoy! https://t.co/pqznbX4tbr	true
Jackdiamond21	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/QyhPk3p2AJ	false
starblastr	RT @jacksfilms: Super Mario Odyssey is my favorite TV show right now	true
MichaelROLeary	As a re-release and place-holder between Zelda and Mario Odyssey, MarioKart 8 Deluxe probably won't win but yeah, crazy.	false
klumatv	RT @PlayKatiePlay: My fabulous friend @KatyRose9 is LIVE right now playing Super Mario Odyssey! 😱    Please go love on her for me ❤️… 	true
luisrcoelho92	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
BlueKokiri	RT @SLOplays: Moon Giveaway? #SuperMarioOdyssey #NintendoSwitch https://t.co/yri7F80Ap6	true
Gus_14354	Super Mario Odyssey is my pick for Best Family Game @thegameawards - Live on December 7 https://t.co/yNu5IVIGyo	false
greninja19	RT @PKSparkxx: Tonight's going to be a hype night! Continuing to 100% #SuperMarioOdyssey, then we're playing Smash! One wave VS Vi… 	true
Donalizio	Darker Side of the Moon (Mario Odyssey, 2017) https://t.co/Qf7Oa8UNaG	false
LeSpelunky	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
ntico25	I liked a @YouTube video https://t.co/0ELDFDcmfi Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad	false
J_D_Fozztar	So I'm probably going to trade in Mario Odyssey. It was fun whilst I played it but I have no motivation to keep getting moons or finding everything. I've just never been that into Mario Games.	false
DuthOlec	Finally gonna fight this bird! Long after I thwarted Bowser's wedding! #spoiler #SuperMarioOdyssey #NintendoSwitch https://t.co/Dyg34Z0sXm	false
MaxfireXSA	RT @GameRant: Super Mario Odyssey Multiplayer Lets Cappy Kill Mario https://t.co/wmxvkGRWch https://t.co/s4hVsz0BMW	true
coolgirltime	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
_Emi_L	It's been a beautiful and joyful journey, and I didn't regret any of it. Thanks, @NintendoOfAmerica #SuperMarioOdyssey #NintendoSwitch https://t.co/xl9a4oItLZ	false
YouOdysseyThis	RT @_Emi_L: It's been a beautiful and joyful journey, and I didn't regret any of it. Thanks, @NintendoOfAmerica… 	true
m_oconnor0507	Mario odyssey is ridiculously mad 🎮	false
mygbgvlife	RT @CrayZBees: Win 1 of 500 Nintendo Switch Console + New Super Mario Odyssey Video Game Prize Pack from @PostHoneycomb  Ends 3/31… 	true
_Quezare_	RT @MyNintendoNews: Honest Game Trailers Tackle Super Mario Odyssey https://t.co/cgWYiF9V9O https://t.co/vdj6Hk7vH1	true
PhilipeBarreto2	Super Mario Odyssey is my pick for Best Family Game @thegameawards - Live on December 7 https://t.co/4n2jvSzz28	false
VitaminCJeff	RT @Commonrealm: Go and vote now for your GOTY 2017! https://t.co/rMcSU1OReV #BreathoftheWild #SuperMarioOdyssey #thegameawards https://t.c…	true
NicoNintendoMag	#SuperMarioOdyssey (Honest Game Trailers)   #NintendoSwitch @SmoshGames https://t.co/x1sScEEEq2 via @YouTube	false
__Skull__Kid__	RT @NintendoAmerica: We're proud to have #SuperMarioOdyssey and The Legend of #Zelda: Breath of the Wild as two of @thegameawards' Game… 	true
sharpaylovemail	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
JoJoGrahamJ	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
Azn_Raider	RT @akfamilyhomeak: Man, Mario Odyssey's plot is really dark. https://t.co/pxZCpU7ixz	true
Daneki99	I liked a @YouTube video https://t.co/KUiNw2dPTB Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad	false
zac0351	Odyssey is a ton of fun! #DancingMario #SuperMarioOdyssey #NintendoSwitch https://t.co/cYWTCnoXgL	false
TheMasterDS	RT @NichtSascha: I found a glitch in #SuperMarioOdyssey's 2 Player-mode that lets Cappy kill Mario when capturing a Piranha Plant.… 	true
Kamuszaqua	RT @NintendoAmerica: Enjoying #SuperMarioOdyssey's Snapshot Mode? Send us your best in-game photos and we'll RT our favorites! https://t.co…	true
jonnyboyevans	RT @pixelatedboat: Mario Odyssey has some weird sidequests: https://t.co/kj9QiIjpuE	true
dttwo	I liked a @YouTube video https://t.co/wb2lL5n6ap THE RING KEEPER - SUPER MARIO ODYSSEY Part 2	false
shieldser99	@AndreSegers Mario Odyssey DLC, bowser eats a mushroom and terrorizes New Donk city, Mario captures 👀 a chained up Donkey Kong and we have a motion controlled boxing match across the city. Also Nintendo world kingdom, full of rollercoasters and sports games	false
HwpMatthews	RT @GreyTheTick: So Mario Odyssey is actually digital crack, but also one of the least manipulative open world games I've played in a long…	true
Denn_Jetzt_Ab	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/ePwQ0hUUfg	false
KhidKhordi	SUPER MARIO ODYSSEY (Honest Game Trailers) https://t.co/TdzBSdW3jj	false
Even_Cortex	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/JAUE13CcRQ	false
BrandonGamingVA	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
MissesMandy	@Shuu_sama if super mario odyssey doesnt win... im gonna be throwing hands.	false
uhh_yana	RT @prozdkp: as many of you have guessed, the fact that this was made just after i finished super mario odyssey was no coincidence	true
Totoroplays	I liked a @YouTube video https://t.co/Al35TsYQT4 Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad	false
NintenBrosTwitt	HEEEEEEEEELP!!! #SuperMarioOdyssey #NintendoSwitch https://t.co/KZVuvg7LQa	false
BowerJrOlivas	@J_S_R_U_ Gotta go with Super Mario Odyssey	false
EmmaGuyan	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	true
griffingold55	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/rfXcFliV5S	false
wMTF2	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/QTKvL68kuJ	false
SteelheadMB	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/47kZWvGtzV	false
Even_Cortex	Super Mario Odyssey is my pick for Best Score/Music @thegameawards - Live on December 7 https://t.co/JAUE13CcRQ	false
_AlwaysAlex_	@NintendoAmerica @thegameawards Voted for Mario odyssey, mainly because I felt that i could play for hours without noticing the time.	false
Even_Cortex	Super Mario Odyssey is my pick for Best Audio Design @thegameawards - Live on December 7 https://t.co/JAUE13CcRQ	false
neoncloudff	Together forever #SuperMarioOdyssey #NintendoSwitch https://t.co/DxUMDbtdq1	false
Rabb1eRouser	Did nor realise you could enter the Odyssey like this  #SuperMarioOdyssey #NintendoSwitch https://t.co/3Tr1LP919g	false
MarkFriedman8	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
VoluXian	Don't drop mamma's rock! #SuperMarioOdyssey #NintendoSwitch https://t.co/jxJKgT2Arz	false
Billybae10K	Super Mario Odyssey is my pick for Best Family Game @thegameawards - Live on December 7 https://t.co/UEM20O9H93	false
XenoHunter516	RT @ZoomyRamen: No Nier or Yakuza 0 but an early access game   Ok lads https://t.co/T03tyFW3x4	true
Dr_Scaphandre	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
