author	description	retweet
Cybershroom_N	Where is the Super Mario Odyssey Review?: https://t.co/UIpJf4aJ2a via @YouTube	False
rexnobow	RT @PlayStation4_pr: Super Mario Odyssey\'s falling dominoes by TheDominoKing. https://t.co/DBDxLCyy7y	True
LadyDoore	@evilbunny Mario Odyssey &amp; Cuphead! Both were excellent 😍	False
PlayStation4_pr	Super Mario Odyssey\'s falling dominoes by TheDominoKing. https://t.co/DBDxLCyy7y	False
Mikeiteq	Super Mario Odyssey - Ep6 - Wooded Kingdom (1/2): https://t.co/kiJQ2IlMR9 via @YouTube	False
breezyBaby901	RT @Xbox_Addictt: I know I just got my X and all, but Mario Odyssey just keeps pulling me back ❤️ https://t.co/SzLzORvbGh	True
DobesCrusher	Watching a friend play Mario Odyssey, damn it looks so cute	False
BabyBoozer	I liked a @YouTube video https://t.co/UrfkJlixt9 SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
PixelDip	Super Mario Odyssey Episode 7 - LOST IN LOST KINGDOM! (Super Mario Odyssey Gameplay) https://t.co/u5VI4ePfWc	False
drwhofan19	@Johnem95 What level in Mario Odyssey was your favorite?	False
pervkohai	RT @akfamilyhomeak: Man, Mario Odyssey\'s plot is really dark. https://t.co/pxZCpU7ixz	True
QuinnWhalen1	This might be a little controversial but... Mario Odyssey &gt; Breath of the Wild	False
crazybro868	RT @NinSwitchNews: 「RT &amp; Follow」 We teamed up w/ @AbdallahNATION for a #NintendoSwitch + #SuperMarioOdyssey #GIVEAWAY!【 Enter here →https…	True
zyany_kun	Agregué un video a una lista de reproducción de @YouTube https://t.co/WimrolhaWV Rap de Mario EN ESPAÑOL (Super Mario Odyssey) -	False
MrRetroCentral	I liked a @YouTube video https://t.co/ckqyeImGWG Super Mario Odyssey 🌎 - Lake Lamode - Part 7 - Nintendo Switch - SNES MINI	False
SpaSsSpieler	Super Mario Odyssey - Alle Captain Toad Fundorte (Collectibles Guide) https://t.co/4HWt7meDbI	False
UniqueLilDevil	RT @9GAGGifs: Super Mario Odyssey\'s falling dominoes by TheDominoKing. https://t.co/ZiVfMiINE4	True
zarisu4	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー - GIGAZINE https://t.co/dQ7vhKd373	False
zarisu4	Super Mario Odyssey (IN 148,777 DOMINOES!) https://t.co/QQF3vza5yk @YouTubeさんから	False
caiomnk	RT @9GAGGifs: Super Mario Odyssey\'s falling dominoes by TheDominoKing. https://t.co/ZiVfMiINE4	True
Nospimi99	More Mario. More runs. More Any%. More odyssey. https://t.co/TrfiL9yYQg	False
show_mikey	RT @IrvingVgc: AMIIBO UNBOXING GONE WRONG + FREE MARIO ODYSSEY GIVEAWAY! https://t.co/L45sSOR3NS via @YouTube	True
georsebquin	Me ha gustado un vídeo de @YouTube (https://t.co/ThRYHVcbPR - ¡Team Diddy en busca de lunas! - #05 - Super Mario Odyssey en Español	False
castlexchan	I really want to play more Mario Odyssey but I don\'t have much left to do :PAnd all is left are kingdoms I don\'t really want to do.	False
sailormeegs	i finished the main story of Mario Odyssey n im kinda sad bc it was so amazing and i already miss that feeling of a… https://t.co/z78Rl3K4Hk	False
stopmymadness	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
mphdawg55	RT @QueenStamper: Super Mario Galaxy, Super Mario Odyssey...what\'s next, Super Mario Harmony, Super Mario Travesty, Super Mario Hurts When…	True
Madlee_G	"RT @TheAyameFlower: Super ""Mario"" Odyssey ✍🎨🕜☀️👋 https://t.co/Q1JqqsAFQR"	True
TreyZerODM	Guy Celebrates Super Mario Odyssey With 148,777 Falling Dominoeshttps://t.co/KpixXF7HYgShared from my Google feed	False
itmatome	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/WVgvkqnmKe	False
Injury_Man	Super Mario Odyssey 100% completed. I enjoyed it very much.	False
Tiffkaboo	I liked a @YouTube video https://t.co/1j4RPuKu39 Super Mario Odyssey: Frog Possession - PART 1 - Game Grumps	False
